corp_code,corp_name,stock_code,avg_revenue_last_3y,total_assets
00549891,케어젠,214370,76964378115.0,240696868067
00550082,캔버스엔,210120,19798896910.7,40037534807
00552859,HLB테라퓨틱스,115450,49975080851.3,219793068613
00552992,진매트릭스,109820,10349275688.7,28458301302
00554352,아이큐어,175250,61793566634.7,132883280956
00556615,모바일어플라이언스,087260,47585506690.3,79232634935
00560122,한울소재과학,091440,25993913741.3,129215868817
00560849,에스앤디,260970,92577579039.0,93010694958
00560982,바이오솔루션,086820,11817294629.7,67464079629
00561723,쏘닉스,088280,15543532474.7,56954161119
00561732,아스플로,159010,86379818756.7,138247317749
00563518,비나텍,126340,61737519277.7,176126234804
00563837,제로투세븐,159580,75566288965.7,90053400129
