corp_code,corp_name,stock_code,year,avg_revenue_last_3y,total_assets,revenue,operating_income,net_income,total_assets_statement,total_liabilities,total_equity,created_at
00129615,상보,027580,2023,62465422703.7,105420391271,66156769308.0,2254501294.0,438470872.0,117729618319.0,55095046360.0,62634571959.0,2026-05-26
00129615,상보,027580,2024,62465422703.7,105420391271,53827014584.0,-8030705994.0,-10943596444.0,105420391271.0,54288454336.0,51131936935.0,2026-05-26
00130408,서산,079650,2022,42033309538.0,112243489402,49163419144.0,-490722601.0,1260451886.0,111631078527.0,6872284734.0,104758793793.0,2026-05-26
00130408,서산,079650,2023,42033309538.0,112243489402,41252744468.0,-1576866107.0,1534293585.0,113918964968.0,7600380823.0,106318584145.0,2026-05-26
00130408,서산,079650,2024,42033309538.0,112243489402,35683765002.0,-2494575557.0,-2459067607.0,112243489402.0,8356165388.0,103887324014.0,2026-05-26
00130587,서울전자통신,027040,2022,40748381271.7,69423552759,51836203952.0,-7727186324.0,-10364260116.0,129205078371.0,74893608869.0,54311469502.0,2026-05-26
00130587,서울전자통신,027040,2023,40748381271.7,69423552759,34586691657.0,-3756620550.0,-14548947347.0,110974139502.0,72040222981.0,38933916521.0,2026-05-26
00130587,서울전자통신,027040,2024,40748381271.7,69423552759,35822248206.0,-2230403436.0,-2743640916.0,69423552759.0,54420205158.0,15003347601.0,2026-05-26
00131018,서울제약,018680,2022,52031623542.3,71620145266,50056724915.0,1738725291.0,855093541.0,62428069702.0,27006390954.0,35421678748.0,2026-05-26
00131018,서울제약,018680,2023,52031623542.3,71620145266,52458517117.0,1212776458.0,3517329275.0,63305406807.0,24741265839.0,38564140968.0,2026-05-26
00131018,서울제약,018680,2024,52031623542.3,71620145266,53579628595.0,1527776530.0,1698603285.0,71620145266.0,31448162683.0,40171982583.0,2026-05-26
00132202,선진뷰티사이언스,086710,2022,72108882215.0,154084421819,64332226652.0,5320882252.0,20104595647.0,135571042903.0,68703934949.0,66867107954.0,2026-05-26
00132202,선진뷰티사이언스,086710,2023,72108882215.0,154084421819,72622359560.0,9043651973.0,6668125849.0,125771952147.0,52936188744.0,72835763403.0,2026-05-26
00132202,선진뷰티사이언스,086710,2024,72108882215.0,154084421819,79372060433.0,10639844772.0,10433403002.0,154084421819.0,71265404882.0,82819016937.0,2026-05-26
00133557,PN풍년,024940,2022,56606036539.7,56816719704,57639296614.0,1318667622.0,1706783829.0,54248037532.0,8163190802.0,46084846730.0,2026-05-26
00133557,PN풍년,024940,2023,56606036539.7,56816719704,57230803245.0,2091164821.0,2169174879.0,55426861052.0,7407806443.0,48019054609.0,2026-05-26
00133557,PN풍년,024940,2024,56606036539.7,56816719704,54948009760.0,920362729.0,1586666205.0,56816719704.0,7539952690.0,49276767014.0,2026-05-26
00133751,세명전기,017510,2022,13625939319.0,88459708061,13966161594.0,1022697460.0,2253654261.0,82985274706.0,8261702636.0,74723572070.0,2026-05-26
00133751,세명전기,017510,2023,13625939319.0,88459708061,12480171413.0,1997049736.0,1306545862.0,83331735609.0,8368837677.0,74962897932.0,2026-05-26
00133751,세명전기,017510,2024,13625939319.0,88459708061,14431484950.0,3029673182.0,4685278134.0,88459708061.0,9878751995.0,78580956066.0,2026-05-26
00135999,신라섬유,001000,2022,3958874686.3,30634773233,4429624973.0,464547764.0,-35839884.0,31936130222.0,16543805287.0,15392324935.0,2026-05-26
00135999,신라섬유,001000,2023,3958874686.3,30634773233,3777530598.0,391543799.0,-671622657.0,30965527275.0,16232763340.0,14732763935.0,2026-05-26
00135999,신라섬유,001000,2024,3958874686.3,30634773233,3669468488.0,416940298.0,-301764011.0,30634773233.0,16238075778.0,14396697455.0,2026-05-26
00136004,신라에스지,025870,2022,82472595164.0,45863612729,73421934268.0,2252248416.0,1134077562.0,47854971381.0,30174598674.0,17680372707.0,2026-05-26
00136004,신라에스지,025870,2023,82472595164.0,45863612729,88377059730.0,1688008975.0,297908852.0,49373769176.0,31902772340.0,17470996836.0,2026-05-26
