통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","대기업_중견","매출액증가율","%","원자료","","","","","","3.70","-10.67","11.83","5.92","4.84","5.08","-3.41","-2.80"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","중소기업","총자산증가율","%","원자료","7.17","1.88","-4.64","6.06","6.75","3.92","3.25","1.13","7.82","4.33","2.53","9.42","2.16"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","중소기업","유형자산증가율","%","원자료","4.87","1.64","2.01","5.16","4.28","7.00","-1.71","3.74","4.14","9.06","0.75","4.74","5.92"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","중소기업","유동자산증가율","%","원자료","5.73","0.32","2.33","3.74","12.41","1.25","4.31","-1.81","1.73","0.11","2.63","4.48","-0.46"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","중소기업","재고자산증가율","%","원자료","-0.72","-5.23","3.40","-13.30","-2.06","6.10","18.33","11.33","3.60","4.44","17.21","2.10","16.24"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","중소기업","자기자본증가율","%","원자료","5.14","2.50","-10.26","11.98","21.60","10.96","0.79","0.34","5.04","4.50","-0.95","11.99","-9.08"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","중소기업","매출액증가율","%","원자료","-0.17","3.56","-5.14","5.00","9.83","2.58","-5.69","-5.25","-1.27","5.30","4.88","6.46","-2.71"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","중기업","총자산증가율","%","원자료","","","","","","5.53","5.83","0.51","9.43","5.95","3.68","3.44","4.54"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","중기업","유형자산증가율","%","원자료","","","","","","13.73","-2.70","2.43","2.19","12.00","4.32","1.35","4.94"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","중기업","유동자산증가율","%","원자료","","","","","","-1.64","9.95","-1.43","-3.12","0.34","2.28","5.95","1.02"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","중기업","재고자산증가율","%","원자료","","","","","","11.25","16.64","15.12","-0.72","-12.34","29.22","-6.21","40.67"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","중기업","자기자본증가율","%","원자료","","","","","","10.02","3.90","1.67","13.94","11.87","-0.50","6.26","3.06"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","중기업","매출액증가율","%","원자료","","","","","","-1.64","-9.87","-6.10","-2.65","7.08","1.82","6.29","-1.90"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","소기업","총자산증가율","%","원자료","","","","","","2.60","1.01","1.72","6.58","3.23","1.77","14.04","0.37"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","소기업","유형자산증가율","%","원자료","","","","","","2.00","-0.80","5.07","5.63","6.79","-2.07","8.07","6.93"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","소기업","유동자산증가율","%","원자료","","","","","","3.33","0.05","-2.14","5.01","-0.01","2.82","3.60","-1.43"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","소기업","재고자산증가율","%","원자료","","","","","","3.82","20.03","7.51","7.03","8.85","14.96","4.41","10.53"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","소기업","자기자본증가율","%","원자료","","","","","","11.55","-3.30","-1.56","-6.01","-4.00","-1.52","20.13","-25.69"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","소기업","매출액증가율","%","원자료","","","","","","8.36","-0.05","-4.14","0.09","3.52","8.33","6.67","-3.96"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","C 제조업","종합","총자산증가율","%","원자료","4.63","5.55","3.97","4.04","5.07","6.49","5.13","3.27","5.91","10.38","7.54","6.93","7.22"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","C 제조업","종합","유형자산증가율","%","원자료","6.40","4.75","3.25","5.32","4.44","7.11","5.02","2.97","4.48","5.74","7.49","6.21","7.05"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","C 제조업","종합","유동자산증가율","%","원자료","2.71","6.56","3.45","2.25","5.75","5.48","4.13","1.50","5.45","14.28","7.25","1.96","6.77"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","C 제조업","종합","재고자산증가율","%","원자료","-1.43","0.99","0.41","-3.64","2.59","10.77","13.50","3.28","-0.49","23.54","20.40","0.46","1.77"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","C 제조업","종합","자기자본증가율","%","원자료","9.09","9.05","6.24","5.94","7.49","8.92","7.38","3.12","5.02","9.03","8.24","7.43","6.31"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","C 제조업","종합","매출액증가율","%","원자료","4.22","0.53","-1.58","-2.82","-0.55","9.01","4.00","-1.72","-2.34","18.10","14.63","-2.27","4.58"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","C 제조업","대기업_중견","총자산증가율","%","원자료","","","","","","3.36","3.00","1.43","3.47","9.98","6.08","6.55","6.62"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","C 제조업","대기업_중견","유형자산증가율","%","원자료","","","","","","0.18","0.98","1.19","-1.14","2.53","3.65","5.85","5.58"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","C 제조업","대기업_중견","유동자산증가율","%","원자료","","","","","","2.55","2.32","-0.77","4.02","15.41","7.14","4.25","5.94"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","C 제조업","대기업_중견","재고자산증가율","%","원자료","","","","","","6.92","9.46","0.08","-4.24","24.66","15.34","-1.57","3.83"
