"한우",98.5,5724.6,106.2,6899,109.3,6028.9,94.4,4428.7,92.8,4749.6
"육우",101,267.6,104.5,337.9,96.9,305.2,72.4,270.4,70,225.9
"젖소",107.1,78.6,96.2,58.2,91,57.5,90.4,66.9,88.8,50.9
"돼지",99.9,7177.5,102.1,8478.5,101.8,9649.6,103.3,9112.7,103.6,9191.3
"염소(산양포함)",110.7,152.6,99.1,177.5,77.9,167.2,72.2,187.7,60.3,158.8
"사슴",133.3,23.2,94.8,15.9,127.4,23.8,95.2,15,79.9,16
"토끼",-,4.5,-,4.1,-,-,-,-,-,-
"닭",99.4,2027,100.3,2274.3,96.6,2581.3,95.6,2713.1,98.1,2591.7
"오리",101.6,813.4,86.3,1206,81.1,1242.8,83.5,1714,95.9,1301.5
"축산물",96.6,4078.3,98.3,5128.3,105.9,5334.9,107,5710,108.9,5760.2
"계란",103,1633.8,95.8,2470.4,113.2,2593.6,118.3,2741,125.3,2842.6
"오리알",107.7,11.4,91.1,9.6,105.1,11.1,89.2,9.4,102.5,10.8
"메추리알",92.9,59.7,92.9,58.8,91.4,84.6,90,81.6,94.4,85.5
"우유",101.5,2196,98.9,2160.5,96,2138.9,93.8,2344.8,94.4,2350.2
"벌꿀",35.1,139.2,109.1,390,132.2,466.7,134.4,493.3,117.1,427.2
"녹용",99.5,38.2,96.8,39,95.1,40.1,90.3,39.8,95.6,43.9
"양잠",67.4,18.7,64.1,18,62.4,18,54.5,15.3,55.5,19.4
"양잠산물",93.9,8.3,92.6,8.3,86.7,7.9,93.4,7.8,97.3,9.4
"오디",55.8,10.4,51.6,9.6,51.7,10.1,37.4,7.5,37.1,9.9
"임업총계",91.3,2073.8,95.9,2176.3,96,2174.8,97.7,2319.7,92.6,2300.9
"용재",81.6,380.5,103,442.1,99,434.6,99.6,405.6,93.9,403.7
"죽재",-,0.1,-,0.4,-,-,-,-,-,-
"연료",114.4,45,77.4,31,119.9,54.7,146.1,67.1,166.6,74.1
"장작",119.8,31.6,71,18.8,143,45.3,179.1,56.6,208.7,63.7
"목탄",101.7,13.3,92.5,12.1,64.9,9.4,67.7,10.5,66.7,10.3
"농용자재",8.2,1.4,6.8,1.7,1.3,0,1.7,0,1.7,0
"퇴비",26.1,0.1,16,0,44.8,0,59.8,0,59.8,0
"사료",7.6,1.3,6.5,1.7,-,0,-,0,-,0
"수실",89.9,325.9,101.1,360.5,108.5,395.3,99,384.9,94.9,397.5
"밤",96.3,102.3,99.9,103.5,96.7,105,89.1,101.3,82.8,99.9
"호두",96.4,21.5,101.1,22,108.4,23.2,103.9,23.8,106,23.4
"대추",99.2,76.2,91.5,78.7,93.7,80.9,86,76.8,88.8,77.2
"잣",97,13.7,58.1,7,106.9,11.5,106.6,13.5,99.5,13.3
"도토리",-,0,-,0,-,-,-,-,-,-
"은행",8.2,1.6,268.1,39.5,324.4,51.1,258.7,40.8,208.6,44.2
"산딸기",89.7,105.6,87.7,102.1,99.5,119.7,94.5,126,93,136.6
"머루",103,1.4,61.5,0.9,28.3,0.4,21.1,0.4,26,0.4
"다래",43.2,1.1,56.4,1.3,32,0.9,15.5,0.4,20.2,0.6
"산초",35,0.9,205.3,1.1,157.1,0.9,75,0.8,87.6,0.9
"석류",57.3,0.8,162.3,3.6,59.3,1,41.7,0.6,37.7,0.6
"돌배",117.7,0.8,121.5,0.9,107.3,0.7,71.7,0.5,63.4,0.5
"버섯",98.3,222.1,96,231.9,94.8,229.2,102.3,222.7,91.5,212.9
"송이",83,17.8,121,35,91.9,27.9,179.5,47.1,104.8,32.8
"목이",125.3,6.2,106,4.9,88.2,3.4,39.2,1.7,30,1.4
"표고",99.3,194.8,92.6,187.8,94.7,193.5,90.1,167.4,89.3,173.7
"능이",101.2,3,101.6,3.4,126,4.2,366.7,6.4,223,4.9
"꽃송이",155.2,0.3,73.3,0.7,130.3,0.3,52,0.2,81,0.3
"섬유원료(닥나무)",61.8,0.3,102.7,0.5,16.4,0.1,19.6,0.1,6.9,0
"수지(칠액)",-,0,-,0,-,-,-,-,-,-
"약용",93.1,641.9,93.5,622.6,89.9,590.9,85,646.2,81.5,670.6
"약초",92.6,627.4,93.4,600,89.6,567.1,84.6,620.8,80.9,645.5
"산수유",95.1,4.5,88.9,4.1,117.1,6,116,7.2,120.7,7.3
"오갈피",119.3,10,101.9,18.5,94.8,17.9,96.4,18.1,97.9,17.8
"죽순",164.7,0.7,77.5,1,78.2,0.6,58.2,0.5,59.5,0.5
"산나물",94.3,393.1,90.2,406.1,88.8,394.6,96.9,469.8,90.5,425.9
"잔디",129.3,23.4,133.3,26.5,93.8,24.4,223.5,52.6,227.9,55.4
"수액",90.8,13.2,105.3,18.9,105.5,12.7,111.4,13.6,112.9,14.5
"톱밥",93.7,25.2,115.2,32.1,201.5,37.2,200.6,55.7,160,44.9
"목초액",97.6,0.8,76,0.7,47.9,0.4,68.8,0.6,66.5,0.6
"칡뿌리",92.6,0.3,42.6,0.3,23.1,0.2,22.9,0.2,25.7,0.2
