통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","부채비율","%","원자료","","","","","","111.64","125.26","141.05","131.57","119.14","107.71","114.09","115.33"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","유동부채비율","%","원자료","","","","","","83.18","85.42","107.40","102.44","92.89","85.22","96.57","96.78"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","비유동부채비율","%","원자료","","","","","","28.46","39.84","33.66","29.13","26.25","22.49","17.52","18.55"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","차입금의존도","%","원자료","","","","","","40.45","43.98","48.58","43.95","40.77","37.08","39.48","42.71"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","차입금대매출액","%","원자료","","","","","","57.40","60.93","65.49","62.78","50.84","42.56","45.94","50.62"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","매출채권대매입채무","%","원자료","","","","","","119.71","91.50","126.40","79.05","91.34","74.16","66.94","87.55"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","순운전자본대총자본","%","원자료","","","","","","-9.54","-10.59","-16.47","-12.01","-9.59","-4.94","-7.88","-10.24"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","자기자본비율","%","원자료","38.82","35.37","36.81","39.82","41.90","42.31","40.48","37.74","35.68","35.51","35.16","34.65","34.59"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","유동비율","%","원자료","94.88","91.18","90.56","103.33","112.21","113.79","109.77","104.82","104.04","105.26","105.57","103.24","101.72"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","당좌비율","%","원자료","56.15","52.76","56.11","67.50","74.99","78.48","74.82","70.87","70.88","73.08","71.90","69.80","69.83"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","현금비율","%","원자료","10.00","9.72","12.49","16.91","20.51","20.88","16.80","14.46","16.75","18.57","15.54","14.49","16.21"
